Date,City,State,Fatalities,Wounded
9/30/2014,Louisville,Kentucky,0,1.0
10/3/2014,Fairburn,Georgia,1,0.0
10/24/2014,Marysville,Washington,5,1.0
11/20/2014,Tallahassee,Florida,1,3.0
11/20/2014,Miami,Florida,1,1.0
12/5/2014,Claremore,Oklahoma,1,0.0
12/12/2014,Portland,Oregon,0,4.0
1/15/2015,Milwaukee,Wisconsin,0,3.0
1/16/2015,Ocala,Florida,0,2.0
2/4/2015,Frederick,Maryland,0,2.0
2/14/2015,Merced,California,1,0.0
2/23/2015,Daytona Beach,Florida,0,3.0
3/30/2015,University City,Missouri,0,1.0
4/13/2015,Goldsboro,North Carolina,1,0.0
4/16/2015,Paradis,Louisiana,0,1.0
4/27/2015,Lacey,Washington,0,0.0
5/12/2015,Jacksonville,Florida,0,2.0
5/24/2015,Flint,Michigan,0,7.0
8/27/2015,Savannah,Georgia,1,0.0
9/3/2015,Sacramento,California,1,2.0
9/14/2015,Cleveland,Mississippi,2,0.0
9/30/2015,Harrisburg,South Dakota,0,1.0
10/1/2015,Roseburg,Oregon,10,9.0
10/9/2015,Flagstaff,Arizona,1,3.0
10/9/2015,Houston,Texas,1,1.0
10/22/2015,Nashville,Tennessee,1,3.0
11/1/2015,Winston-Salem,North Carolina,1,1.0
11/20/2015,North Las Vegas,Nevada,1,0.0
1/22/2016,Indianapolis,Indiana,0,1.0
1/29/2016,Philadelphia,Pennsylvania,0,0.0
2/9/2016,Muskegon Heights,Michigan,0,4.0
2/12/2016,Glendale,Arizona,2,0.0
2/29/2016,Middletown,Ohio,0,4.0
4/23/2016,Antigo,Wisconsin,1,2.0
6/1/2016,Los Angeles,California,2,0.0
6/8/2016,Dorchester,Massachusetts,1,3.0
9/6/2016,Cedar Rapids,IA,1,0.0
9/9/2016,Alpine,Texas,1,2.0
9/28/2016,Townville,South Carolina,2,2.0
10/11/2016,Mobile,Alabama,0,1.0
10/13/2016,Columbus,Ohio,0,2.0
10/18/2016,San Francisco,California,0,4.0
10/25/2016,Sandy,Utah,0,1.0
12/1/2016,Bountiful,Utah,0,0.0
1/20/2017,West Liberty,Ohio,0,1.0
1/20/2017,Seattle,Washington,0,1.0
3/21/2017,King City,California,0,1.0
4/10/2017,San Bernardino,California,3,1.0
5/4/2017,Irving,Texas,2,0.0
9/13/2017,Rockford,Washington,1,3.0
9/20/2017,Mattoon,Illinois,0,1.0
11/14/2017,Rancho Tehama Reserve,California,6,18.0
12/7/2017,Aztec,New Mexico,3,0.0
1/9/2018,Forest City,Iowa,0,0.0
1/20/2018,Winston-Salem,North Carolina,1,0.0
1/22/2018,Italy,Texas,0,1.0
1/22/2018,New Orleans,Louisiana,0,1.0
1/23/2018,Marshall County,Kentucky,2,18.0
2/1/2018,Los Angeles,California,0,5.0
2/14/2018,Parkland,Florida,17,14.0
3/2/2018,Mount Pleasant,Michigan,2,0.0
3/7/2018,Birmingham,Alabama,1,2.0
3/14/2018,Birmingham,Alabama,2,1.0
3/20/2018,Great Mills,Maryland,2,1.0
4/20/2018,Ocala,Florida,0,1.0
5/11/2018,Palmdale,California,0,1.0
5/16/2018,Dixon,Texas,0,1.0
5/18/2018,Santa Fe,Texas,10,10.0
5/18/2018,Jonesboro,Georgia,1,3.0
5/25/2018,Nobelsville,Indiana,0,2.0
8/17/2018,Wellington,Florida,0,2.0
8/30/2018,San Francisco,California,0,1.0
9/5/2018,Providence,Rhode Island,1,1.0
9/10/2018,Memphis,Tennessee,0,1.0
9/11/2018,Las Vegas,Nevada,1,0.0
10/29/2018,Matthews,North Carolina,1,1.0
12/13/2018,Richmond,Indiana,1,0.0
1/25/2019,Mobile,Alabama,0,2.0
2/8/2019,Baltimore,Maryland,0,1.0
2/12/2019,Kansas City,Missouri,1,0.0
2/14/2019,Rio Rancho,New Mexico,0,0.0
3/22/2019,Blountville,Alabama,0,1.0
4/1/2019,Prescott,Arizona,0,1.0
4/25/2019,Dekalb,Georgia,0,10.0
4/30/2019,Charlotte,North Carolina,2,4.0
5/4/2019,Eugene,Oregon,1,0.0
5/6/2019,Riverview,Florida,0,0.0
5/7/2019,Highlands Ranch,Colorado,1,7.0
5/7/2019,Savannah,Georgia,0,1.0
8/8/2019,Montgomery,Alabama,0,0.0
8/30/2019,Mobile,Alabama,0,10.0
10/22/2019,Santa Rosa,California,0,1.0
11/14/2019,Santa Clarita,California,2,4.0
11/15/2019,Pleasantville,New Jersey,1,2.0
11/23/2019,Union City,California,2,0.0
12/2/2019,Waukesha,Wisconsin,0,1.0
12/3/2019,Oshkosh,Wisconsin,0,2.0
1/8/2020,Belle Glade,Florida,0,1.0
1/11/2020,Dallas,Texas,1,1.0
1/14/2020,Bellaire,Texas,1,0.0
1/14/2020,Fort Worth,Texas,0,2.0
1/23/2020,Oxnard,California,0,1.0
2/3/2020,Commerce,Texas,2,1.0
9/16/2020,Sonora,California,1,0.0
9/16/2020,Macomb,Illinois,0,1.0
2/26/2021,New Orleans,Louisiana,1,0.0
3/1/2021,Pine Bluff,Arkansas,1,0.0
4/12/2021,Knoxville,Tennessee,1,1.0
4/26/2021,Plymouth,Minnesota,0,0.0
5/6/2021,Rigby,Idaho,0,3.0
